id,s_id,nb_overlap,nb_overlap_1000,nb_overlap_500,nb_overlap_200
63,29,2002,417,263,189
63,39,2077,648,588,556
63,62,2157,1467,891,389
63,71,2054,728,194,39
63,73,2161,181,80,33
63,76,2002,294,262,113
63,90,2017,1798,953,258
63,112,2161,176,92,37
63,116,2161,228,132,50
63,117,2161,228,132,50
64,2,2026,317,124,45
64,17,2020,504,157,62
64,22,2026,200,97,29
64,33,2026,522,279,103
64,68,2026,370,129,35
64,72,2026,277,102,41
64,89,2026,1268,301,77
64,113,2026,435,304,201
64,116,2026,194,100,41
64,117,2026,194,100,41
64,123,2026,410,97,25
64,160,1217,303,217,73
65,99,3611,2773,709,59
65,143,1061,101,51,19
66,32,2276,1632,696,83
66,80,2091,321,67,26
66,120,2225,395,115,16
67,9,2250,496,67,26
67,35,2597,209,88,42
67,70,2402,1069,516,233
67,79,2187,1221,1178,678
67,119,2162,701,228,82
67,131,608,165,94,31
68,2,2516,319,279,21
68,17,2229,435,370,108
68,22,2607,1509,1151,302
68,64,2026,370,129,35
68,72,2769,154,71,27
68,116,2769,445,165,66
68,117,2769,445,165,66
68,123,2769,2559,1471,909
68,126,415,289,131,73
68,160,1383,304,216,79
69,8,695,513,381,236
69,125,233,233,145,24
69,181,543,214,134,60
70,27,2401,806,419,243
70,35,2489,187,71,30
70,67,2402,1069,516,233
70,79,2274,1682,999,313
70,119,2227,1223,1125,596
70,131,608,130,79,26
71,49,2201,297,117,19
71,62,2142,970,366,117
71,63,2054,728,194,39
71,72,2201,1179,892,638
71,73,2201,348,124,25
71,112,2201,293,71,27
71,116,2201,954,540,51
71,117,2201,954,540,51
71,124,2201,296,180,42
71,130,565,273,231,21
71,160,537,279,241,131
72,2,2619,860,259,25
72,17,2280,232,120,42
72,22,2643,794,101,28
72,25,2485,534,420,329
72,33,2822,807,201,35
72,62,2182,843,264,48
72,64,2026,277,102,41
72,68,2769,154,71,27
72,71,2201,1179,892,638
72,104,2310,181,86,39
72,113,2501,310,91,35
72,116,3502,1345,773,284
72,117,3502,1345,773,284
72,123,2982,231,68,29
73,16,541,384,142,26
73,21,425,362,194,53
73,39,2239,1292,662,218
73,45,2017,840,567,302
73,49,2885,763,530,352
73,62,2245,206,103,40
73,63,2161,181,80,33
73,71,2201,348,124,25
73,90,2179,412,96,37
73,104,2289,571,410,306
73,112,2889,1999,581,206
73,116,2889,174,74,26
73,117,2889,174,74,26
73,124,2889,414,239,92
