latitude,longitude,timestamp,id
41.475426999999996,-88.06668900000001,09:14:30,1
41.475442,-88.06670400000002,09:14:42,1
41.475452999999995,-88.06670700000001,09:14:43,1
41.475459,-88.06671399999999,09:14:44,1
41.475464,-88.066724,09:14:45,1
41.475468,-88.06673199999999,09:14:46,1
41.475467,-88.066726,09:14:47,1
41.475467,-88.066726,09:14:48,1
41.475467,-88.066726,09:14:49,1
41.47546500000001,-88.066723,09:14:50,1
41.475468,-88.06670899999999,09:14:51,1
41.475469000000004,-88.066688,09:14:52,1
41.475474000000006,-88.066658,09:14:53,1
41.475482,-88.066618,09:14:54,1
41.475493,-88.066572,09:14:55,1
41.475507,-88.06651900000001,09:14:56,1
41.475522,-88.06646500000001,09:14:57,1
41.475539,-88.066407,09:14:58,1
41.475558,-88.066346,09:14:59,1
41.475575,-88.06628199999999,09:15:00,1
41.475590000000004,-88.066216,09:15:01,1
41.475603,-88.066153,09:15:02,1
41.475611,-88.066093,09:15:03,1
41.475618999999995,-88.06603199999999,09:15:04,1
41.475628,-88.06596900000001,09:15:05,1
41.475636,-88.06590700000001,09:15:06,1
41.47566,-88.06589,09:15:07,1
41.475715,-88.065948,09:15:08,1
41.475763,-88.06593000000001,09:15:09,1
41.475814,-88.06593600000001,09:15:10,1
41.475864,-88.065943,09:15:11,1
41.475923,-88.065959,09:15:12,1
41.475977,-88.065968,09:15:13,1
41.476032,-88.065973,09:15:14,1
41.476085999999995,-88.06597900000001,09:15:15,1
41.476143,-88.065986,09:15:16,1
41.476202,-88.06599,09:15:17,1
41.476265999999995,-88.065998,09:15:18,1
41.476337,-88.066011,09:15:19,1
41.476409999999994,-88.06602199999999,09:15:20,1
41.47648100000001,-88.06603100000001,09:15:21,1
41.476548,-88.066038,09:15:22,1
41.476614,-88.066044,09:15:23,1
41.476673,-88.066052,09:15:24,1
41.476738,-88.066058,09:15:25,1
41.476799,-88.066061,09:15:26,1
41.476862000000004,-88.066067,09:15:27,1
41.476926000000006,-88.066073,09:15:28,1
41.476989,-88.06608,09:15:29,1
41.477053,-88.06608700000001,09:15:30,1
41.477115999999995,-88.06609399999999,09:15:31,1
41.47718,-88.06610199999999,09:15:32,1
41.477242,-88.066108,09:15:33,1
41.477304999999994,-88.06611500000001,09:15:34,1
41.477367,-88.06612100000001,09:15:35,1
41.477427,-88.066125,09:15:36,1
41.477484000000004,-88.066127,09:15:37,1
41.47754,-88.066129,09:15:38,1
41.477593999999996,-88.066132,09:15:39,1
41.477641999999996,-88.066132,09:15:40,1
41.477685,-88.06613300000001,09:15:41,1
41.477722,-88.066134,09:15:42,1
41.477754999999995,-88.06613300000001,09:15:43,1
41.477778,-88.06612999999999,09:15:44,1
41.477774,-88.06613300000001,09:15:45,1
41.477774,-88.066134,09:15:46,1
41.477774,-88.06613499999999,09:15:47,1
41.477772,-88.066139,09:15:48,1
41.477772,-88.066139,09:15:49,1
41.477772,-88.066139,09:15:50,1
41.477772,-88.066139,09:15:51,1
41.477772,-88.066139,09:15:52,1
41.477772,-88.066139,09:15:53,1
41.477772,-88.066139,09:15:54,1
41.477772,-88.066139,09:15:55,1
41.477772,-88.066139,09:15:56,1
41.477772,-88.066139,09:15:57,1
41.477772,-88.066139,09:15:58,1
41.477772,-88.066139,09:15:59,1
41.477772,-88.066139,09:16:00,1
41.477772,-88.066139,09:16:01,1
41.477772,-88.066139,09:16:02,1
41.477766,-88.06614900000001,09:16:03,1
41.477768,-88.066148,09:16:04,1
41.477768,-88.066147,09:16:05,1
41.477767,-88.06614499999999,09:16:06,1
41.477767,-88.06614499999999,09:16:07,1
41.477772,-88.06614400000001,09:16:08,1
41.477782,-88.066143,09:16:09,1
41.477792,-88.066141,09:16:10,1
41.477799999999995,-88.066138,09:16:11,1
41.477804,-88.06613499999999,09:16:12,1
41.477805,-88.066134,09:16:13,1
41.477806,-88.06613499999999,09:16:14,1
41.477806,-88.06613499999999,09:16:15,1
41.477806,-88.06613499999999,09:16:16,1
41.477806,-88.06613499999999,09:16:17,1
41.477806,-88.06613499999999,09:16:18,1
41.477806,-88.06613499999999,09:16:19,1
41.477806,-88.06613499999999,09:16:20,1
41.477806,-88.06613499999999,09:16:21,1
41.477806,-88.06613499999999,09:16:22,1
41.477823,-88.066136,09:16:23,1
41.477832,-88.066127,09:16:24,1
41.477846,-88.06610699999999,09:16:25,1
41.477858999999995,-88.066075,09:16:26,1
41.477849,-88.06599200000001,09:16:27,1
41.477841,-88.065919,09:16:28,1
41.47783999999999,-88.065841,09:16:29,1
41.477841,-88.065758,09:16:30,1
41.477847000000004,-88.06567100000001,09:16:31,1
41.477846,-88.065583,09:16:32,1
41.477851,-88.065495,09:16:33,1
41.477848,-88.065399,09:16:34,1
41.477846,-88.06530000000001,09:16:35,1
41.477849,-88.065198,09:16:36,1
41.477849,-88.06509700000001,09:16:37,1
41.477851,-88.064997,09:16:38,1
41.477879,-88.06488300000001,09:16:39,1
41.477886,-88.064776,09:16:40,1
41.4779,-88.064663,09:16:41,1
41.477914,-88.064548,09:16:42,1
41.477919,-88.064437,09:16:43,1
41.477922,-88.064324,09:16:44,1
41.477929,-88.064208,09:16:45,1
41.477941,-88.064087,09:16:46,1
41.477956000000006,-88.06396199999999,09:16:47,1
41.477978,-88.063829,09:16:48,1
41.477996000000005,-88.06369699999999,09:16:49,1
41.478016,-88.06356299999999,09:16:50,1
41.478037,-88.06342699999999,09:16:51,1
41.478061,-88.063289,09:16:52,1
41.478085,-88.06315000000001,09:16:53,1
41.478109999999994,-88.06300900000001,09:16:54,1
41.478136000000006,-88.062868,09:16:55,1
41.478162000000005,-88.062727,09:16:56,1
41.478187,-88.062585,09:16:57,1
41.478213,-88.06244099999999,09:16:58,1
41.478239,-88.062298,09:16:59,1
41.478265,-88.06215399999999,09:17:00,1
41.478289999999994,-88.062012,09:17:01,1
41.478317,-88.06187299999999,09:17:02,1
41.478342000000005,-88.061733,09:17:03,1
41.478370000000005,-88.061601,09:17:04,1
41.478397,-88.061467,09:17:05,1
41.478423,-88.061334,09:17:06,1
