0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74
500.0,0.0,0.0,500.0,0.0,0.0,500.0,0.0,0.0,500.0,0.0,0.0,385.0100656133808,0.6467927027003176,-0.7626658506407761,8.947820027959786,-0.07464577337242766,-0.9972101125227483,500.0,0.0,0.0,500.0,0.0,0.0,500.0,0.0,0.0,500.0,0.0,0.0,500.0,0.0,0.0,500.0,0.0,0.0,500.0,0.0,0.0,500.0,0.0,0.0,440.0419189180708,0.937018443407244,-0.3492798830660955,500.0,0.0,0.0,5.958397569318703,-0.2615590605970924,-0.9651874728878149,500.0,0.0,0.0,500.0,0.0,0.0,500.0,0.0,0.0,500.0,0.0,0.0,500.0,0.0,0.0,500.0,0.0,0.0,500.0,0.0,0.0,500.0,0.0,0.0
500.0,0.0,0.0,500.0,0.0,0.0,223.77319898963333,-0.0054721226855575485,-0.9999850278245741,500.0,0.0,0.0,500.0,0.0,0.0,334.0447903249389,0.002665977593784974,0.9999964462754203,0.0,1.0,0.0,500.0,0.0,0.0,205.10688664379768,-0.9875874805701494,-0.1570699469061623,500.0,0.0,0.0,500.0,0.0,0.0,500.0,0.0,0.0,500.0,0.0,0.0,500.0,0.0,0.0,500.0,0.0,0.0,500.0,0.0,0.0,500.0,0.0,0.0,500.0,0.0,0.0,500.0,0.0,0.0,500.0,0.0,0.0,500.0,0.0,0.0,500.0,0.0,0.0,500.0,0.0,0.0,500.0,0.0,0.0,12.803296313966069,0.18258651907841414,0.9831897899443566
500.0,0.0,0.0,500.0,0.0,0.0,500.0,0.0,0.0,500.0,0.0,0.0,500.0,0.0,0.0,500.0,0.0,0.0,500.0,0.0,0.0,500.0,0.0,0.0,500.0,0.0,0.0,500.0,0.0,0.0,500.0,0.0,0.0,38.681321621853016,-0.6590303103165317,-0.752116380677948,500.0,0.0,0.0,500.0,0.0,0.0,500.0,0.0,0.0,500.0,0.0,0.0,500.0,0.0,0.0,500.0,0.0,0.0,500.0,0.0,0.0,500.0,0.0,0.0,500.0,0.0,0.0,500.0,0.0,0.0,500.0,0.0,0.0,500.0,0.0,0.0,148.5964611567931,-0.919943406656317,-0.3920511810332552
500.0,0.0,0.0,500.0,0.0,0.0,500.0,0.0,0.0,500.0,0.0,0.0,500.0,0.0,0.0,500.0,0.0,0.0,162.05176757694647,0.9823211077163828,-0.18720374284415006,500.0,0.0,0.0,338.3630765961777,0.8307103632020703,0.5567048522050841,500.0,0.0,0.0,500.0,0.0,0.0,500.0,0.0,0.0,500.0,0.0,0.0,500.0,0.0,0.0,344.5855983358708,0.09174711751633575,0.9957823388810647,500.0,0.0,0.0,500.0,0.0,0.0,500.0,0.0,0.0,500.0,0.0,0.0,500.0,0.0,0.0,500.0,0.0,0.0,500.0,0.0,0.0,500.0,0.0,0.0,106.5950564716144,0.07936842083021246,-0.9968453509822466,11.952599049376698,-0.8102669268049547,-0.5860610099008926
500.0,0.0,0.0,500.0,0.0,0.0,500.0,0.0,0.0,500.0,0.0,0.0,279.87170600890215,0.07159533426387646,0.9974337612651999,500.0,0.0,0.0,500.0,0.0,0.0,500.0,0.0,0.0,500.0,0.0,0.0,368.5154904532853,-0.016614150969674894,0.9998619754683927,79.7177542750504,0.03211766702450259,0.9994840946532882,355.9520130918468,0.8474556823829271,0.5308661473449662,500.0,0.0,0.0,500.0,0.0,0.0,500.0,0.0,0.0,500.0,0.0,0.0,500.0,0.0,0.0,352.4481524973015,6.123233995736766e-17,-1.0,500.0,0.0,0.0,238.41219237838868,0.024746775545103655,-0.999693751656036,500.0,0.0,0.0,500.0,0.0,0.0,500.0,0.0,0.0,500.0,0.0,0.0,500.0,0.0,0.0
500.0,0.0,0.0,500.0,0.0,0.0,361.5316294431396,-0.30945034717805153,-0.9509156022651976,500.0,0.0,0.0,412.41495750026235,0.11066764285606272,-0.9938574710815847,500.0,0.0,0.0,500.0,0.0,0.0,500.0,0.0,0.0,500.0,0.0,0.0,500.0,0.0,0.0,500.0,0.0,0.0,500.0,0.0,0.0,500.0,0.0,0.0,500.0,0.0,0.0,500.0,0.0,0.0,500.0,0.0,0.0,500.0,0.0,0.0,500.0,0.0,0.0,74.78954845107397,0.05507214904559513,0.9984823776108919,0.0,1.0,0.0,500.0,0.0,0.0,500.0,0.0,0.0,500.0,0.0,0.0,500.0,0.0,0.0,261.0681304725093,0.5197817865853924,-0.8542990660969363
16.43267847739379,0.9958184947991019,-0.09135384729747849,500.0,0.0,0.0,500.0,0.0,0.0,343.5207086369749,-0.12476104897715112,0.9921868174180308,500.0,0.0,0.0,500.0,0.0,0.0,402.3310481986775,0.24514406552572054,-0.9694866616604486,500.0,0.0,0.0,500.0,0.0,0.0,131.13260817452982,-0.020373786628454595,-0.9997924328671518,0.0,1.0,0.0,500.0,0.0,0.0,500.0,0.0,0.0,500.0,0.0,0.0,354.2555081625726,-0.014454811451661307,-0.9998955237553057,500.0,0.0,0.0,500.0,0.0,0.0,500.0,0.0,0.0,500.0,0.0,0.0,16.079637523009215,-0.346150498171816,-0.9381789981743376,276.94439521973135,-0.9819787679493628,0.18899126777883574,500.0,0.0,0.0,500.0,0.0,0.0,500.0,0.0,0.0,500.0,0.0,0.0
500.0,0.0,0.0,500.0,0.0,0.0,500.0,0.0,0.0,500.0,0.0,0.0,70.85080171523458,0.03770836341017929,0.9992887867523211,500.0,0.0,0.0,500.0,0.0,0.0,500.0,0.0,0.0,500.0,0.0,0.0,500.0,0.0,0.0,500.0,0.0,0.0,500.0,0.0,0.0,271.9147103059176,0.9825388909748602,-0.18605732375236292,500.0,0.0,0.0,500.0,0.0,0.0,500.0,0.0,0.0,108.57214226238858,0.9494318369980289,0.31397322639764735,500.0,0.0,0.0,500.0,0.0,0.0,500.0,0.0,0.0,0.0,1.0,0.0,500.0,0.0,0.0,500.0,0.0,0.0,371.54501575339015,-0.029661626779107494,-0.9995599971471532,114.55179402055357,0.02720992516222708,-0.9996297414406327
500.0,0.0,0.0,500.0,0.0,0.0,500.0,0.0,0.0,316.6569306250644,0.042185525097544245,0.999109794503209,500.0,0.0,0.0,500.0,0.0,0.0,409.8235604360869,0.30422318705937434,0.9526007833586098,276.5010441843076,-0.8768641422830519,-0.4807382614044859,500.0,0.0,0.0,500.0,0.0,0.0,341.91507519001397,-0.9405903168311318,-0.33954359938527945,500.0,0.0,0.0,500.0,0.0,0.0,500.0,0.0,0.0,500.0,0.0,0.0,142.36290825912752,0.035969316999915846,-0.999352894744674,500.0,0.0,0.0,500.0,0.0,0.0,500.0,0.0,0.0,500.0,0.0,0.0,500.0,0.0,0.0,345.4090753207786,0.9410665102351682,0.3382215595047159,500.0,0.0,0.0,500.0,0.0,0.0,500.0,0.0,0.0
282.57942602015146,0.17018231192432887,-0.9854125941493189,500.0,0.0,0.0,500.0,0.0,0.0,500.0,0.0,0.0,500.0,0.0,0.0,500.0,0.0,0.0,500.0,0.0,0.0,500.0,0.0,0.0,500.0,0.0,0.0,500.0,0.0,0.0,500.0,0.0,0.0,500.0,0.0,0.0,500.0,0.0,0.0,500.0,0.0,0.0,500.0,0.0,0.0,500.0,0.0,0.0,500.0,0.0,0.0,500.0,0.0,0.0,451.86527869620005,0.9972470113897963,-0.07415118525094141,60.849814050046795,0.07738420458166816,-0.9970013464791623,500.0,0.0,0.0,500.0,0.0,0.0,500.0,0.0,0.0,500.0,0.0,0.0,500.0,0.0,0.0
